ACTION_POINTS_LABEL	Pontos de Ação:
MENU	Menu
DAY	Dia
SAVE	Save
LOAD	Load
ALIEN_RESOURCES	Recursos Alienigenas
MARKETING	Propaganda Intergaláctica
FINANCES	Finanças Universais
LOGISTICS	Logistica Espacial
INFRASTRUCTURE	Infraestrutura Antigravitacional
LOG_LABEL	Log:
HIRE	Contratar
MANAGE	Gerenciar
PROFESSION_LABEL	Profissão:
SKILL	Habilidade
HAPPINESS	Felicidade
SALARY	Salário:
DISMISS	Demitir
CLIENTS_RANGE	Clientes
ANOUNCE	Anunciar
INCREASE_PRICES	Aumentar Preços
DECREASE_PRICES	Baixar Preços
INCREASE_PRICES_EFFECT	Preço +10% Satisfação -5
DECREASE_PRICES_EFFECT	Preço -10% Satisfação +5
SATISFACTION_PLUS	Satisfação +
SATISFACTION_MINUS	Satisfação -
PROVIDER	Fornecedor
INVENTORY	Estoque
BUY	Comprar
MAKE_CLEANING	Fazer Limpeza
DISH_NUMBER_LABEL	Número do Prato:
LEVEL_LABEL	Nível:
INGREDIENTS_LABEL	Ingredientes: 
NEW_GAME	Novo Jogo
CONTINUE	Continuar
AUDIO_LABEL	Som
QUIT	Sair
YES	Sim
NO	Não
SUMMARY	Resumo
TOTAL_BALANCE	Balanço Total
TOTAL_INCOME	Total Arrecadado
TOTAL_SPEND	Gastos de Gereciamento
CLIENTS_RECEIVED	Clientes Recebidos
CLIENTS_ATTENDED	Clientes Atendidos
CURRENT_CAPACITY	Capacidade Atual
GAME_OVER	Game Over
VICTORY	Vitoria
VICTORY_MESSAGE	Parabéns! Você conseguiu ter a lanchonete mais bem sucedida da galáxia! Bardos Intergalácticos irão cantar seus feitos por gerações e um filme está sendo negociado com UniverseWood contando o seu caso de sucesso!
WISH_TO_DISMISS	Desaja demitir?
DAYS_LEFT	Dias até estragar.
GAME_NAME	Restaurante na Esquina do Universo
PROGRESS_LOADED	O jogo foi carregado.
PROGRESS_SAVED	O jogo foi salvo.
DAY_IS_OVER	O dia terminou.
GAME_OVER	Você perdeu!
NO_CASH_BUY_INGREDIENT	Não há dinheiro suficiênte para comprar o ingrediente.
NO_CASH_BUY_EQUIPMENT	Não há dinheiro suficiênte para comprar o equipamento.
NO_CASH_HIRE_ADVERTISEMENT	Não há dinheiro suficiênte para fazer propaganda.
NO_CASH_HIRE_EMPLOYEE	Não há dinheiro suficiênte para contratar o empregado.
NO_CASH_DISMISS_EMPLOYEE	Não há dinheiro suficiênte para demitir o empregado.
